id,name,campaign_id,adset_id,status,effective_status,spend,impressions,clicks,ctr,cpc
6694036687801,Creo 1,6694036687601,6694036689401,ACTIVE,ACTIVE,14.57,1775,25,1.41,0.58
6694036688801,Creo 4,6694036687601,6694036689401,ACTIVE,ACTIVE,6.47,601,4,0.67,1.62
6694036688401,Creo 2,6694036687601,6694036689401,ACTIVE,ACTIVE,48.16,8343,121,1.45,0.4
6694036689001,Creo 3,6694036687601,6694036689401,ACTIVE,ACTIVE,5.81,374,4,1.07,1.45
6686216499401,Пропагандирование призыва к действию: Отправить сообщение,6686216478001,6686216484001,ACTIVE,ACTIVE,34.51,7435,491,6.6,0.07
6684244739401,Creo 1,6684244739201,6684244739601,ACTIVE,ACTIVE,184.63,178616,2498,1.4,0.07
6684244739001,Creo 1,6684244739201,6684244738801,ACTIVE,ACTIVE,184.58,189369,1857,0.98,0.1
6683232683801,Creo 1,6683155214201,6683232684001,ACTIVE,ACTIVE,195.97,202761,1602,0.79,0.12
6683155214401,Creo 1,6683155214201,6683155214601,ACTIVE,ACTIVE,206.64,196920,1751,0.89,0.12
6683232801601,Creo 1,6683148191601,6683232801801,ACTIVE,ACTIVE,197.13,169818,2321,1.37,0.08
6683148191801,Creo 1,6683148191601,6683148191401,ACTIVE,ACTIVE,207.96,117782,1775,1.51,0.12
